validdate;weather_symbol_1h:idx
2019-04-17T14:00:00Z;1
2019-04-18T14:00:00Z;1
2019-04-19T14:00:00Z;2
2019-04-20T14:00:00Z;1
2019-04-21T14:00:00Z;4
2019-04-22T14:00:00Z;2
2019-04-23T14:00:00Z;1
2019-04-24T14:00:00Z;5
2019-04-25T14:00:00Z;1
2019-04-26T14:00:00Z;4
2019-04-27T14:00:00Z;5
2019-04-28T14:00:00Z;3
2019-04-29T14:00:00Z;4
2019-04-30T14:00:00Z;3
2019-05-01T14:00:00Z;1
2019-05-02T14:00:00Z;5
2019-05-03T14:00:00Z;4
2019-05-04T14:00:00Z;5
2019-05-05T14:00:00Z;1
2019-05-06T14:00:00Z;1
2019-05-07T14:00:00Z;3
2019-05-08T14:00:00Z;5
2019-05-09T14:00:00Z;4
2019-05-10T14:00:00Z;5
2019-05-11T14:00:00Z;3
2019-05-12T14:00:00Z;5
2019-05-13T14:00:00Z;1
2019-05-14T14:00:00Z;1
2019-05-15T14:00:00Z;4
2019-05-16T14:00:00Z;4
2019-05-17T14:00:00Z;4
2019-05-18T14:00:00Z;4
2019-05-19T14:00:00Z;4
2019-05-20T14:00:00Z;5
2019-05-21T14:00:00Z;5
2019-05-22T14:00:00Z;3
2019-05-23T14:00:00Z;3
2019-05-24T14:00:00Z;4
2019-05-25T14:00:00Z;4
2019-05-26T14:00:00Z;1
2019-05-27T14:00:00Z;2
2019-05-28T14:00:00Z;5
2019-05-29T14:00:00Z;1
2019-05-30T14:00:00Z;1
2019-05-31T14:00:00Z;2
2019-06-01T14:00:00Z;1
2019-06-02T14:00:00Z;1
2019-06-03T14:00:00Z;14
2019-06-04T14:00:00Z;4
2019-06-05T14:00:00Z;4
2019-06-06T14:00:00Z;5
2019-06-07T14:00:00Z;3
2019-06-08T14:00:00Z;1
2019-06-09T14:00:00Z;5
2019-06-10T14:00:00Z;5
2019-06-11T14:00:00Z;4
2019-06-12T14:00:00Z;4
2019-06-13T14:00:00Z;1
2019-06-14T14:00:00Z;3
2019-06-15T14:00:00Z;3
2019-06-16T14:00:00Z;1
2019-06-17T14:00:00Z;1
2019-06-18T14:00:00Z;4
2019-06-19T14:00:00Z;2
2019-06-20T14:00:00Z;14
2019-06-21T14:00:00Z;4
2019-06-22T14:00:00Z;4
2019-06-23T14:00:00Z;1
2019-06-24T14:00:00Z;2
2019-06-25T14:00:00Z;2
2019-06-26T14:00:00Z;1
2019-06-27T14:00:00Z;1
2019-06-28T14:00:00Z;1
2019-06-29T14:00:00Z;1
2019-06-30T14:00:00Z;1
2019-07-01T14:00:00Z;4
2019-07-02T14:00:00Z;1
2019-07-03T14:00:00Z;1
2019-07-04T14:00:00Z;1
2019-07-05T14:00:00Z;1
2019-07-06T14:00:00Z;5
2019-07-07T14:00:00Z;1
2019-07-08T14:00:00Z;3
2019-07-09T14:00:00Z;1
2019-07-10T14:00:00Z;1
2019-07-11T14:00:00Z;5
2019-07-12T14:00:00Z;3
2019-07-13T14:00:00Z;3
2019-07-14T14:00:00Z;4
2019-07-15T14:00:00Z;2
2019-07-16T14:00:00Z;1
2019-07-17T14:00:00Z;2
2019-07-18T14:00:00Z;4
2019-07-19T14:00:00Z;3
2019-07-20T14:00:00Z;4
2019-07-21T14:00:00Z;1
2019-07-22T14:00:00Z;2
2019-07-23T14:00:00Z;1
2019-07-24T14:00:00Z;1
2019-07-25T14:00:00Z;2
2019-07-26T14:00:00Z;2
2019-07-27T14:00:00Z;8
2019-07-28T14:00:00Z;4
2019-07-29T14:00:00Z;2
2019-07-30T14:00:00Z;1
2019-07-31T14:00:00Z;3
2019-08-01T14:00:00Z;1
2019-08-02T14:00:00Z;1
2019-08-03T14:00:00Z;2
2019-08-04T14:00:00Z;3
2019-08-05T14:00:00Z;1
2019-08-06T14:00:00Z;3
2019-08-07T14:00:00Z;5
2019-08-08T14:00:00Z;1
2019-08-09T14:00:00Z;3
2019-08-10T14:00:00Z;4
2019-08-11T14:00:00Z;1
2019-08-12T14:00:00Z;4
2019-08-13T14:00:00Z;2
2019-08-14T14:00:00Z;1
2019-08-15T14:00:00Z;1
2019-08-16T14:00:00Z;3
2019-08-17T14:00:00Z;15
2019-08-18T14:00:00Z;4
2019-08-19T14:00:00Z;8
2019-08-20T14:00:00Z;5
2019-08-21T14:00:00Z;4
2019-08-22T14:00:00Z;2
2019-08-23T14:00:00Z;3
2019-08-24T14:00:00Z;1
2019-08-25T14:00:00Z;1
2019-08-26T14:00:00Z;1
2019-08-27T14:00:00Z;3
2019-08-28T14:00:00Z;3
2019-08-29T14:00:00Z;8
2019-08-30T14:00:00Z;1
2019-08-31T14:00:00Z;1
2019-09-01T14:00:00Z;4
2019-09-02T14:00:00Z;4
2019-09-03T14:00:00Z;2
2019-09-04T14:00:00Z;1
2019-09-05T14:00:00Z;4
2019-09-06T14:00:00Z;4
2019-09-07T14:00:00Z;1
2019-09-08T14:00:00Z;5
2019-09-09T14:00:00Z;4
2019-09-10T14:00:00Z;1
2019-09-11T14:00:00Z;4
2019-09-12T14:00:00Z;1
2019-09-13T14:00:00Z;1
2019-09-14T14:00:00Z;3
2019-09-15T14:00:00Z;1
